accession	tax_id	scientific_name	base_count	last_updated	first_public	description
AY279327	51159	Drosophila lutescens	2773	2006-11-14	2004-03-31	Drosophila lutescens alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.
AF006564	7234	Drosophila persimilis	3482	2005-04-15	1997-09-11	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
AF399012	42027	Drosophila kuntzei	4800	2005-04-15	2001-08-16	Drosophila kuntzei alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, complete cds.
JF735883	7282	Drosophila obscura	639	2011-10-24	2011-10-24	Drosophila obscura alcohol dehydrogenase gene, partial cds.
X62187	7237	Drosophila pseudoobscura	3444	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62212	7237	Drosophila pseudoobscura	3459	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62234	7237	Drosophila pseudoobscura	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64473	7237	Drosophila pseudoobscura	3487	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64488	7237	Drosophila pseudoobscura	3469	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
JF735884	7283	Drosophila phalerata	370	2011-10-24	2011-10-24	Drosophila phalerata alcohol dehydrogenase gene, partial cds.
M19264	7226	Drosophila mauritiana	4581	2006-11-14	1988-10-04	D.mauritiana alcohol dehydrogenase gene, complete cds.
U68469	7266	Drosophila guanche	2146	1999-09-17	1999-01-06	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.
X62227	7237	Drosophila pseudoobscura	3444	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64475	7237	Drosophila pseudoobscura	3470	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AH000981	7227	Drosophila melanogaster	271	2011-06-30	2011-06-30	Drosophila melanogaster alcohol dehydrogenase gene, partial cds.
X62237	7237	Drosophila pseudoobscura	3470	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64479	7237	Drosophila pseudoobscura	3459	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64489	7237	Drosophila pseudoobscura	3472	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62230	7237	Drosophila pseudoobscura	3474	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64483	7237	Drosophila pseudoobscura	3463	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
M63392	7235	Drosophila picticornis	1598	2006-11-14	1991-04-04	Drosophila picticornis alcohol dehydrogenase gene, complete cds.
X64482	7237	Drosophila pseudoobscura	3498	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62197	7237	Drosophila pseudoobscura	3490	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62205	7237	Drosophila pseudoobscura	3479	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64484	7237	Drosophila pseudoobscura	3472	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62207	7237	Drosophila pseudoobscura	3467	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64474	7237	Drosophila pseudoobscura	3475	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
